Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.1 FI5LW4G02S4NNV length=492	340	0.588235294117647	27.6323529411765	29	8.22311371483458
@SRR034130.2 FI5LW4G02TRNPN length=378	371	0.495956873315364	37.921832884097	40	5.55628038948643
@SRR034130.4 FI5LW4G02TLLHL length=480	402	0.437810945273632	35.6293532338308	40	7.1474972743182
@SRR034130.5 FI5LW4G02TTFDV length=450	359	0.367688022284123	29.08356545961	31	8.88937175894606
@SRR034130.6 FI5LW4G02TZG02 length=487	422	0.383886255924171	32.7914691943128	38	9.14798490188314
@SRR034130.7 FI5LW4G02T1T8Q length=404	392	0.48469387755102	36.2984693877551	40	6.31283333051865
@SRR034130.8 FI5LW4G02R93TP length=400	398	0.444723618090452	31.1256281407035	34	8.95267695538143
@SRR034130.9 FI5LW4G02TVOY9 length=429	405	0.446913580246914	36.4987654320988	40	5.78262363428849
@SRR034130.11 FI5LW4G02TP5T2 length=463	422	0.504739336492891	34.2037914691943	38	7.81199423957588
@SRR034130.13 FI5LW4G02TISE3 length=425	357	0.560224089635854	34.2913165266106	38	7.4584434999311
@SRR034130.15 FI5LW4G02TQ7S9 length=527	369	0.330623306233062	28.9756097560976	32	8.96381319404473
@SRR034130.17 FI5LW4G02TX85X length=430	417	0.354916067146283	32.7985611510791	38	9.05685555477848
@SRR034130.21 FI5LW4G02Q2G6Z length=495	465	0.395698924731183	34.0043010752688	39	8.2401968137811
@SRR034130.23 FI5LW4G02TX2BP length=456	411	0.282238442822384	31.8880778588808	34	8.75671889514317
@SRR034130.24 FI5LW4G02P3L81 length=446	441	0.448979591836735	36.562358276644	40	5.95371067398544
@SRR034130.25 FI5LW4G02Q2Z36 length=424	408	0.468137254901961	37.1397058823529	40	6.29516345776385
@SRR034130.27 FI5LW4G02PW4D9 length=435	417	0.326139088729017	36.6235011990408	40	7.24732870022195
@SRR034130.28 FI5LW4G02TOH0H length=405	378	0.507936507936508	35.015873015873	40	7.37367616350241
@SRR034130.29 FI5LW4G02TLRTQ length=438	423	0.494089834515366	36.1323877068558	40	5.92540243767285
@SRR034130.31 FI5LW4G02THWXR length=362	355	0.464788732394366	38.0450704225352	40	4.42683103079988
@SRR034130.33 FI5LW4G02TEXFW length=351	350	0.494285714285714	37.4714285714286	40	4.7448401429331
@SRR034130.35 FI5LW4G02P2X4R length=454	427	0.533957845433255	38.0772833723653	40	4.13857657616584
@SRR034130.36 FI5LW4G02QA0KO length=471	403	0.451612903225806	32.6550868486352	35	8.13888416813932
@SRR034130.37 FI5LW4G02SEHTM length=377	374	0.409090909090909	37.3716577540107	40	5.54903551076327
@SRR034130.38 FI5LW4G02P8M9C length=493	478	0.420502092050209	34.173640167364	40	8.91711047694766
@SRR034130.40 FI5LW4G02TT4KB length=384	379	0.41688654353562	32.844327176781	37	8.33838185224426
@SRR034130.42 FI5LW4G02RGPDF length=387	373	0.348525469168901	36.4530831099196	40	5.70333541217063
@SRR034130.44 FI5LW4G02POPDU length=407	394	0.296954314720812	35.3274111675127	40	7.35102491675101
@SRR034130.45 FI5LW4G02QROMG length=377	360	0.513888888888889	37.425	40	5.64995008235893
@SRR034130.46 FI5LW4G02QOIKO length=454	449	0.516703786191537	37.2516703786192	40	5.76135548891739
@SRR034130.47 FI5LW4G02S2WEK length=416	415	0.334939759036145	35.0674698795181	40	7.47752039220744
@SRR034130.48 FI5LW4G02P05YF length=387	354	0.350282485875706	28.4717514124294	30	9.42214519912141
@SRR034130.49 FI5LW4G02P1C8Q length=425	417	0.443645083932854	38.2158273381295	40	4.90451507531197
@SRR034130.52 FI5LW4G02RWETC length=397	392	0.512755102040816	36.9642857142857	40	5.30200463946712
@SRR034130.57 FI5LW4G02POJ01 length=398	375	0.453333333333333	33.5466666666667	38	8.25349275170794
@SRR034130.58 FI5LW4G02Q3PBY length=391	375	0.466666666666667	37.5333333333333	40	4.89988904527149
@SRR034130.60 FI5LW4G02P4MHE length=475	384	0.338541666666667	35.9270833333333	40	6.36200338197034
@SRR034130.61 FI5LW4G02PYHRY length=540	252	0.462151394422311	31.4246031746032	33	7.40936401728968
@SRR034130.65 FI5LW4G02R1LD7 length=513	465	0.247311827956989	34.4129032258065	39	7.56761512401255
@SRR034130.67 FI5LW4G02SG7P8 length=418	404	0.346534653465347	33.7178217821782	39	8.64833087973515
@SRR034130.71 FI5LW4G02TXV73 length=400	379	0.596306068601583	36.4749340369393	40	5.72022122665555
@SRR034130.76 FI5LW4G02TL4MF length=448	423	0.274231678486998	37.0023640661939	40	5.57818143681462
@SRR034130.77 FI5LW4G02PRID4 length=487	468	0.39957264957265	34.6965811965812	40	8.01322709120578
@SRR034130.78 FI5LW4G02P8MRB length=508	314	0.328025477707006	23.640127388535	23	8.39829862484224
@SRR034130.80 FI5LW4G02S3B8Q length=473	458	0.334061135371179	33.174672489083	38	8.85428183340022
@SRR034130.84 FI5LW4G02RJ4FZ length=455	441	0.44671201814059	36.8072562358277	40	5.98988100884342
@SRR034130.85 FI5LW4G02QOFLS length=432	354	0.322033898305085	30.4717514124294	35	10.2876775920668
@SRR034130.88 FI5LW4G02POV8Y length=433	408	0.404411764705882	35.9779411764706	40	6.65816848273178
@SRR034130.89 FI5LW4G02PUUOK length=428	422	0.457345971563981	35.4075829383886	40	7.50231883940991
@SRR034130.90 FI5LW4G02P0T6I length=374	259	0.583011583011583	34.0540540540541	37	5.16594515213784
@SRR034130.91 FI5LW4G02T0PG5 length=384	242	0.305785123966942	29.4297520661157	31	6.99949784361386
@SRR034130.92 FI5LW4G02SHG7X length=456	451	0.507760532150776	34.1973392461197	39	7.39631091334583
@SRR034130.94 FI5LW4G02PXN6I length=395	393	0.422391857506361	36.5750636132315	40	6.73061002318574
@SRR034130.97 FI5LW4G02SUALY length=439	407	0.361179361179361	31.8648648648649	37	9.6067463425228
@SRR034130.99 FI5LW4G02R3VMF length=507	227	0.555066079295154	33.6651982378855	37	6.45424846912759
@SRR034130.100 FI5LW4G02R79N4 length=439	251	0.308	24.9203187250996	23	9.13639017873076
@SRR034130.102 FI5LW4G02R08QN length=370	293	0.283276450511945	23.6552901023891	22	9.18347687991365
@SRR034130.103 FI5LW4G02T1UA0 length=501	416	0.519230769230769	37.4831730769231	40	4.79454564892345
@SRR034130.104 FI5LW4G02QZ062 length=404	378	0.30952380952381	26.457671957672	27	10.1896893265275
@SRR034130.107 FI5LW4G02T2ZLE length=488	398	0.552763819095477	21.1683417085427	20	7.99271095920526
@SRR034130.108 FI5LW4G02SDFQJ length=405	377	0.458885941644562	33.4588859416446	35	7.15214830322454
@SRR034130.109 FI5LW4G02TLRT0 length=466	447	0.378076062639821	35.2035794183445	40	7.30416587824882
@SRR034130.110 FI5LW4G02RPJ46 length=257	222	0.324324324324324	33.3828828828829	36	7.83842922063184
@SRR034130.111 FI5LW4G02PKH69 length=749	222	0.342342342342342	21.027027027027	17	10.0108171896552
@SRR034130.112 FI5LW4G02PYEPT length=548	205	0.248780487804878	20.990243902439	21	7.04536438049485
@SRR034130.116 FI5LW4G02RXZX7 length=462	416	0.324519230769231	36.8028846153846	40	5.75730788377538
@SRR034130.117 FI5LW4G02P7RH6 length=437	419	0.503579952267303	38.2505966587112	40	4.088344780015
@SRR034130.120 FI5LW4G02S7ZPD length=376	348	0.511494252873563	33.1695402298851	36	7.61861006907061
@SRR034130.121 FI5LW4G02RPGY5 length=422	406	0.5	35.3177339901478	40	7.38667674743109
@SRR034130.122 FI5LW4G02POW8H length=435	349	0.469914040114613	30.1833810888252	32	9.26404860637969
@SRR034130.124 FI5LW4G02TZDS7 length=447	392	0.397959183673469	33.5025510204082	39	8.69194256759749
@SRR034130.125 FI5LW4G02TLB1L length=474	423	0.522458628841608	35.0898345153664	40	7.87951123902459
@SRR034130.127 FI5LW4G02SN2EH length=500	418	0.404306220095694	29.8301435406699	32	9.61475437325385
@SRR034130.128 FI5LW4G02TDL0V length=462	321	0.339563862928349	27.0591900311526	27	9.21715035094363
@SRR034130.129 FI5LW4G02QRRXM length=445	423	0.387706855791962	36.5744680851064	40	6.28158450731639
@SRR034130.132 FI5LW4G02TO693 length=419	412	0.361650485436893	35.7111650485437	40	7.07839807588021
@SRR034130.133 FI5LW4G02PQ8W5 length=397	380	0.521052631578947	37.7078947368421	40	4.67367192649306
@SRR034130.134 FI5LW4G02PNOKT length=399	317	0.359621451104101	34.8643533123028	40	7.02733523338472
@SRR034130.136 FI5LW4G02TJREN length=404	402	0.308457711442786	35.6467661691542	40	6.89498006630642
@SRR034130.137 FI5LW4G02PYFZW length=367	364	0.357142857142857	35.2142857142857	40	7.70089718115535
@SRR034130.140 FI5LW4G02QH5EK length=467	314	0.630573248407643	30.328025477707	34	7.99624779733654
